Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
reina-madre,appointment/completed/light,VariableID:3464:58,#e4f2ec,appointment/completed/light → GRM Global/status/appointment/completed/light → natureGreen/50,--appointment-completed-light,,missing,#e4f2ec,equal
reina-madre,appointment/completed/light-border,VariableID:3464:59,#b8decc,appointment/completed/light-border → GRM Global/status/appointment/completed/light-border → natureGreen/200,--appointment-completed-light-border,,missing,#b8decc,equal
reina-madre,appointment/completed/default,VariableID:3464:60,#2f9e6a,appointment/completed/default → GRM Global/status/appointment/completed/default → natureGreen/500,--appointment-completed-default,,missing,#2f9e6a,equal
reina-madre,appointment/completed/foreground,VariableID:3464:61,#2a7c57,appointment/completed/foreground → GRM Global/status/appointment/completed/foreground → natureGreen/700,--appointment-completed-foreground,,missing,#2a7c57,equal
reina-madre,appointment/no-show/light,VariableID:3464:62,#fae8e8,appointment/no-show/light → GRM Global/status/appointment/no-show/light → warmRed/50,--appointment-no-show-light,,missing,#fae8e8,equal
reina-madre,appointment/no-show/light-border,VariableID:3464:63,#f1c3c3,appointment/no-show/light-border → GRM Global/status/appointment/no-show/light-border → warmRed/200,--appointment-no-show-light-border,,missing,#f1c3c3,equal
reina-madre,appointment/no-show/default,VariableID:3464:64,#d64f4f,appointment/no-show/default → GRM Global/status/appointment/no-show/default → warmRed/500,--appointment-no-show-default,,missing,#d64f4f,equal
reina-madre,appointment/no-show/foreground,VariableID:3464:65,#a64243,appointment/no-show/foreground → GRM Global/status/appointment/no-show/foreground → warmRed/700,--appointment-no-show-foreground,,missing,#a64243,equal
reina-madre,appointment/cancelled/light,VariableID:3464:66,#fdf4f0,appointment/cancelled/light → GRM Global/status/appointment/cancelled/light → softCoral/50,--appointment-cancelled-light,,missing,#fdf4f0,equal
reina-madre,appointment/cancelled/light-border,VariableID:3464:67,#fae2d7,appointment/cancelled/light-border → GRM Global/status/appointment/cancelled/light-border → softCoral/200,--appointment-cancelled-light-border,,missing,#fae2d7,equal
reina-madre,appointment/cancelled/default,VariableID:3464:68,#f0a988,appointment/cancelled/default → GRM Global/status/appointment/cancelled/default → softCoral/500,--appointment-cancelled-default,,missing,#f0a988,equal
reina-madre,appointment/cancelled/foreground,VariableID:3464:69,#b9846d,appointment/cancelled/foreground → GRM Global/status/appointment/cancelled/foreground → softCoral/700,--appointment-cancelled-foreground,,missing,#b9846d,equal
reina-madre,appointment/rescheduled/light,VariableID:3464:70,#f2eef9,appointment/rescheduled/light → GRM Global/status/appointment/rescheduled/light → lavenderPurple/50,--appointment-rescheduled-light,,missing,#f2eef9,equal
reina-madre,appointment/rescheduled/light-border,VariableID:3464:71,#ddd3f0,appointment/rescheduled/light-border → GRM Global/status/appointment/rescheduled/light-border → lavenderPurple/200,--appointment-rescheduled-light-border,,missing,#ddd3f0,equal
reina-madre,appointment/rescheduled/default,VariableID:3464:72,#9b7fd4,appointment/rescheduled/default → GRM Global/status/appointment/rescheduled/default → lavenderPurple/500,--appointment-rescheduled-default,,missing,#9b7fd4,equal
reina-madre,appointment/rescheduled/foreground,VariableID:3464:73,#7a65a6,appointment/rescheduled/foreground → GRM Global/status/appointment/rescheduled/foreground → lavenderPurple/700,--appointment-rescheduled-foreground,,missing,#7a65a6,equal
reina-madre,warning-hover,VariableID:3492:56313,#d6a36a,warning-hover → Reina Madre/status/warning/600,--warning-hover,#fff1e3,different,#d6a36a,equal
reina-madre,warning-active,VariableID:3492:56314,#b3854f,warning-active → Reina Madre/status/warning/700,--warning-active,#ffe2c2,different,#b3854f,equal
reina-madre,error-hover,VariableID:3492:56315,#dc2626,error-hover → Reina Madre/status/error/600,--error-hover,#dc2626,equal,#dc2626,equal
reina-madre,error-active,VariableID:3492:56316,#b91c1c,error-active → Reina Madre/status/error/700,--error-active,#b91c1c,equal,#b91c1c,equal
reina-madre,destructive-hover,VariableID:3492:56317,#bf1636,destructive-hover → Reina Madre/status/destructive/600,--destructive-hover,#e61e42,different,#e61e42,different
reina-madre,destructive-active,VariableID:3492:56318,#94112a,destructive-active → Reina Madre/status/destructive/700,--destructive-active,#bf1636,different,#bf1636,different
reina-madre,info-hover,VariableID:3492:56319,#0284c7,info-hover → Reina Madre/status/info/600,--info-hover,#0284c7,equal,#0284c7,equal
reina-madre,info-active,VariableID:3492:56320,#0369a1,info-active → Reina Madre/status/info/700,--info-active,#0369a1,equal,#0369a1,equal
reina-madre,primary-hover,VariableID:164:184,#d8618e,primary-hover → Reina Madre/primary/hover → Reina Madre/primary/600,--primary-hover,#d8618e,equal,#d8618e,equal
reina-madre,secondary-hover,VariableID:164:185,#8c48a7,secondary-hover → Reina Madre/secondary/hover → Reina Madre/secondary/600,--secondary-hover,#8c48a7,equal,#8c48a7,equal
reina-madre,primary-active,VariableID:164:365,#b84772,primary-active → Reina Madre/primary/active → Reina Madre/primary/700,--primary-active,#b84772,equal,#b84772,equal
reina-madre,secondary-active,VariableID:168:367,#74388a,secondary-active → Reina Madre/secondary/active → Reina Madre/secondary/700,--secondary-active,#74388a,equal,#74388a,equal
reina-madre,background-hover,VariableID:168:368,#616271,background-hover → Reina Madre/neutral/hover → Reina Madre/neutral/600,--background-hover,#8a8fb6,different,#8a8fb6,different
reina-madre,background-active,VariableID:168:369,#4b4c59,background-active → Reina Madre/neutral/active → Reina Madre/neutral/700,--background-active,#565386,different,#565386,different
reina-madre,success/foreground,VariableID:203:202,#28282f,success/foreground → Reina Madre/neutral/900,--success-foreground,#373644,different,#373644,different
reina-madre,warning/foreground,VariableID:203:208,#28282f,warning/foreground → Reina Madre/neutral/900,--warning-foreground,#373644,different,#373644,different
reina-madre,error/foreground,VariableID:203:209,#ffffff,error/foreground → color/neutral/0,--error-foreground,#ffffff,equal,#ffffff,equal
reina-madre,destructive/foreground,VariableID:203:210,#ffffff,destructive/foreground → color/neutral/0,--destructive-foreground,#ffffff,equal,#ffffff,equal
reina-madre,info/foreground,VariableID:203:211,#ffffff,info/foreground → color/neutral/0,--info-foreground,#ffffff,equal,#ffffff,equal
reina-madre,success/light-border,VariableID:203:212,#e0f0d1,success/light-border → Reina Madre/status/success/200,--success-light-border,#e0f0d1,equal,#e0f0d1,equal
reina-madre,warning/light-border,VariableID:203:213,#ffe2c2,warning/light-border → Reina Madre/status/warning/200,--warning-light-border,#ffe2c2,equal,#ffe2c2,equal
reina-madre,error/light-foreground,VariableID:203:214,#b91c1c,error/light-foreground → Reina Madre/status/error/700,--error-light-foreground,#b91c1c,equal,#b91c1c,equal
reina-madre,destructive/light-border,VariableID:203:215,#ffc3c2,destructive/light-border → Reina Madre/status/destructive/200,--destructive-light-border,#ffcdd7,different,#ffcdd7,different
reina-madre,info/light-foreground,VariableID:203:216,#0369a1,info/light-foreground → Reina Madre/status/info/700,--info-light-foreground,#0369a1,equal,#0369a1,equal
reina-madre,success,VariableID:203:217,#afd393,success → Reina Madre/status/success/500,--success,#afd393,equal,#afd393,equal
reina-madre,warning,VariableID:203:218,#fac186,warning → Reina Madre/status/warning/500,--warning,#fac186,equal,#fac186,equal
reina-madre,error,VariableID:203:219,#ef4444,error → Reina Madre/status/error/500,--error,#ef4444,equal,#ef4444,equal
reina-madre,destructive,VariableID:203:220,#e61e42,destructive → Reina Madre/status/destructive/500,--destructive,#ff3759,different,#ff3759,different
reina-madre,info,VariableID:203:221,#0ea5e9,info → Reina Madre/status/info/500,--info,#0ea5e9,equal,#0ea5e9,equal
reina-madre,success/light,VariableID:208:2,#f8fcf4,success/light → Reina Madre/status/success/50,--success-light,#f8fcf4,equal,#f8fcf4,equal
reina-madre,warning/light,VariableID:208:3,#fff9f2,warning/light → Reina Madre/status/warning/50,--warning-light,#fff9f2,equal,#fff9f2,equal
reina-madre,error/light,VariableID:208:4,#fef2f2,error/light → Reina Madre/status/error/50,--error-light,#fef2f2,equal,#fef2f2,equal
reina-madre,destructive/light,VariableID:208:5,#fff4f3,destructive/light → Reina Madre/status/destructive/50,--destructive-light,#fff4f6,different,#fff4f6,different
reina-madre,info/light,VariableID:208:6,#f0f9ff,info/light → Reina Madre/status/info/50,--info-light,#f0f9ff,equal,#f0f9ff,equal
reina-madre,success/light-foreground,VariableID:208:7,#5c7149,success/light-foreground → Reina Madre/status/success/800,--success-light-foreground,#77915f,different,#77915f,different
reina-madre,warning/light-foreground,VariableID:208:8,#8c663c,warning/light-foreground → Reina Madre/status/warning/800,--warning-light-foreground,#b3854f,different,#b3854f,different
reina-madre,error/light-border,VariableID:208:33,#fecaca,error/light-border → Reina Madre/status/error/200,--error-light-border,#fecaca,equal,#fecaca,equal
reina-madre,destructive/light-foreground,VariableID:210:2,#94112a,destructive/light-foreground → Reina Madre/status/destructive/700,--destructive-light-foreground,#bf1636,different,#bf1636,different
reina-madre,info/light-border,VariableID:210:3,#bae6fd,info/light-border → Reina Madre/status/info/200,--info-light-border,#bae6fd,equal,#bae6fd,equal
reina-madre,success-hover,VariableID:230:1268,#93b478,success-hover → Reina Madre/status/success/600,--success-hover,#93b478,equal,#93b478,equal
reina-madre,success-active,VariableID:230:1269,#77915f,success-active → Reina Madre/status/success/700,--success-active,#77915f,equal,#77915f,equal
reina-madre,success/light-hover,VariableID:230:1270,#f0f8e8,success/light-hover → Reina Madre/status/success/100,--success-light-hover,#f0f8e8,equal,#f0f8e8,equal
reina-madre,success/light-active,VariableID:230:1271,#e0f0d1,success/light-active → Reina Madre/status/success/200,--success-light-active,#e0f0d1,equal,#e0f0d1,equal
reina-madre,warning/light-hover,VariableID:230:1272,#fff1e3,warning/light-hover → Reina Madre/status/warning/100,--warning-light-hover,#fff1e3,equal,#fff1e3,equal
reina-madre,warning/light-active,VariableID:230:1273,#ffe2c2,warning/light-active → Reina Madre/status/warning/200,--warning-light-active,#ffe2c2,equal,#ffe2c2,equal
reina-madre,error/light-hover,VariableID:230:1274,#fee2e2,error/light-hover → Reina Madre/status/error/100,--error-light-hover,,missing,#fee2e2,equal
reina-madre,error/light-active,VariableID:230:1275,#fecaca,error/light-active → Reina Madre/status/error/200,--error-light-active,,missing,#fecaca,equal
reina-madre,destructive/light-hover,VariableID:230:1276,#ffe4e3,destructive/light-hover → Reina Madre/status/destructive/100,--destructive-light-hover,#ffe7ec,different,#ffe7ec,different
reina-madre,destructive/light-active,VariableID:230:1277,#ffc3c2,destructive/light-active → Reina Madre/status/destructive/200,--destructive-light-active,#ffcdd7,different,#ffcdd7,different
reina-madre,info/light-hover,VariableID:230:1278,#e0f2fe,info/light-hover → Reina Madre/status/info/100,--info-light-hover,,missing,#e0f2fe,equal
reina-madre,info/light-active,VariableID:230:1279,#bae6fd,info/light-active → Reina Madre/status/info/200,--info-light-active,,missing,#bae6fd,equal
maria-linda,card,VariableID:51:19,#ffffff,card → color/neutral/0,--card,#ffffff,equal,#ffffff,equal
maria-linda,popover,VariableID:51:20,#f8f9f9,popover → Maria Linda/neutral/50,--popover,#fbfaf6,different,#fbfaf6,different
maria-linda,border,VariableID:51:21,#ced0d2,border → Maria Linda/neutral/300,--border,#bfbfbf,different,#bfbfbf,different
maria-linda,input,VariableID:51:22,#bfbfbf,input → Maria Linda/neutral/400,--input,#909294,different,#909294,different
maria-linda,ring,VariableID:51:23,#7bc6bb,ring → Maria Linda/primary/500,--ring,#7bc6bb,equal,#7bc6bb,equal
maria-linda,sidebar,VariableID:51:24,#ffffff,sidebar → color/neutral/0,--sidebar,#ffffff,equal,#ffffff,equal
maria-linda,popover/foreground,VariableID:51:25,#28292a,popover/foreground → Maria Linda/neutral/900,--popover-foreground,#494949,different,#494949,different
maria-linda,secondary/foreground,VariableID:51:26,#697d7a,secondary/foreground → Maria Linda/secondary/800,--secondary-foreground,#697d7a,equal,#697d7a,equal
maria-linda,primary/foreground,VariableID:51:172,#ffffff,primary/foreground → color/neutral/0,--primary-foreground,#ffffff,equal,#ffffff,equal
maria-linda,muted/foreground,VariableID:71:2,#616465,muted/foreground → Maria Linda/neutral/600,--muted-foreground,#7b7d7e,different,#7b7d7e,different
maria-linda,accent/foreground,VariableID:71:3,#393b3c,accent/foreground → Maria Linda/neutral/800,--accent-foreground,#56585a,different,#56585a,different
maria-linda,chart/1,VariableID:71:4,#7bc6bb,chart/1 → Maria Linda/primary/500,--chart-1,,missing,#7bc6bb,equal
maria-linda,card/foreground,VariableID:71:5,#393b3c,card/foreground → Maria Linda/neutral/800,--card-foreground,#56585a,different,#56585a,different
maria-linda,sidebar/foreground,VariableID:71:6,#28292a,sidebar/foreground → Maria Linda/neutral/900,--sidebar-foreground,#494949,different,#494949,different
maria-linda,chart/2,VariableID:71:7,#c7e5e0,chart/2 → Maria Linda/secondary/500,--chart-2,,missing,#c7e5e0,equal
maria-linda,chart/3,VariableID:71:8,#b3ae9a,chart/3 → Maria Linda/accent/500,--chart-3,,missing,#ccc7b2,different
maria-linda,chart/4,VariableID:71:9,#32ac70,chart/4 → success → Maria Linda/status/success/500,--chart-4,,missing,#32ac70,equal
maria-linda,chart/5,VariableID:71:10,#e2a11d,chart/5 → warning → Maria Linda/status/warning/500,--chart-5,,missing,#e2a11d,equal
maria-linda,sidebar/primary/foreground,VariableID:71:12,#ffffff,sidebar/primary/foreground → color/neutral/0,--sidebar-primary-foreground,#ffffff,equal,#ffffff,equal
maria-linda,sidebar/accent/foreground,VariableID:71:13,#28292a,sidebar/accent/foreground → Maria Linda/neutral/900,--sidebar-accent-foreground,#494949,different,#494949,different
maria-linda,sidebar/border,VariableID:71:14,#a6a8a9,sidebar/border → Maria Linda/neutral/500,--sidebar-border,#a6a8a9,equal,#a6a8a9,equal
maria-linda,sidebar/ring,VariableID:71:15,#7bc6bb,sidebar/ring → Maria Linda/primary/500,--sidebar-ring,#7bc6bb,equal,#7bc6bb,equal
maria-linda,sidebar/primary,VariableID:74:3,#7bc6bb,sidebar/primary → Maria Linda/primary/500,--sidebar-primary,#7bc6bb,equal,#7bc6bb,equal
maria-linda,sidebar/accent,VariableID:74:4,#f5fbfa,sidebar/accent → Maria Linda/primary/50,--sidebar-accent,#f5fbfa,equal,#f5fbfa,equal
maria-linda,primary/10%,VariableID:248:129,#7bc6bb / 10%,primary/10% → Maria Linda/primary/500-10%,--primary-10,,missing,oklch(0.7744 0.0767 184.01 / 10%),equal
maria-linda,primary/default-foreground,VariableID:248:131,#376a62,primary/default-foreground → Maria Linda/primary/800,--primary-default-foreground,#7bc6bb,different,#7bc6bb,different
maria-linda,primary/15%,VariableID:248:511,#7bc6bb / 15%,primary/15% → Maria Linda/primary/500-15%,--primary-15,,missing,oklch(0.7744 0.0767 184.01 / 15%),equal
maria-linda,secondary/40%,VariableID:249:143,#c7e5e0 / 40%,secondary/40% → Maria Linda/secondary/500-40%,--secondary-40,,missing,oklch(0.8987 0.0323 184.49 / 40%),equal
maria-linda,secondary/default-border,VariableID:294:472,#c7e5e0,secondary/default-border → Maria Linda/secondary/500,--secondary-default-border,#c7e5e0,equal,#c7e5e0,equal
maria-linda,secondary/10%,VariableID:294:495,#c7e5e0 / 10%,secondary/10% → Maria Linda/secondary/500-10%,--secondary-10,,missing,oklch(0.8987 0.0323 184.49 / 10%),equal
maria-linda,primary/default-border,VariableID:294:496,#4c8e84,primary/default-border → primary → Maria Linda/primary/700,--primary-default-border,#7bc6bb,different,#7bc6bb,different
maria-linda,success/default-border,VariableID:332:2317,#32ac70,success/default-border → Maria Linda/status/success/500,--success-default-border,#32ac70,equal,#32ac70,equal
maria-linda,warning/default-border,VariableID:332:2318,#e2a11d,warning/default-border → Maria Linda/status/warning/500,--warning-default-border,#e2a11d,equal,#e2a11d,equal
maria-linda,error/default-border,VariableID:332:2323,#de4655,error/default-border → Maria Linda/status/error/500,--error-default-border,#de4655,equal,#de4655,equal
maria-linda,error/default-foreground,VariableID:417:1110,#ffffff,error/default-foreground → color/neutral/0,--error-default-foreground,#ffffff,equal,#ffffff,equal
maria-linda,error/20%,VariableID:424:1864,#de4655 / 20%,error/20% → Maria Linda/status/error/500-20%,--error-20,,missing,oklch(0.6135 0.1877 19.18 / 20%),equal
maria-linda,ring/50%,VariableID:424:1865,#7bc6bb / 50%,ring/50% → Maria Linda/primary/500-50%,--ring-50,,missing,oklch(0.7744 0.0767 184.01 / 50%),equal
maria-linda,primary/5%,VariableID:452:1261,#7bc6bb / 5%,primary/5% → Maria Linda/primary/500-5%,--primary-5,,missing,oklch(0.7744 0.0767 184.01 / 5%),equal
maria-linda,input/50%,VariableID:479:83,#909294 / 50%,input/50% → Maria Linda/neutral/500-50%,--input-50,,missing,oklch(0.6589 0.0038 247.88 / 50%),equal
maria-linda,accent/50%,VariableID:629:40610,#b3ae9a / 50%,accent/50% → Maria Linda/accent/500-50%,--accent-50,,missing,oklch(0.828 0.0291 95.95 / 50%),different
maria-linda,ring/15%,VariableID:902:6506,#7bc6bb / 15%,ring/15% → Maria Linda/primary/500-15%,--ring-15,,missing,oklch(0.7744 0.0767 184.01 / 15%),equal
maria-linda,muted/50%,VariableID:1194:649,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 50}",muted/50%,--muted-50,,missing,oklch(0.8971 0.0017 247.84 / 50%),different
maria-linda,destructive/10%,VariableID:1361:2019,#ca1f50 / 10%,destructive/10% → Maria Linda/status/destructive/500-10%,--destructive-10,,missing,oklch(0.5466 0.2021 12.13 / 10%),equal
maria-linda,destructive/default-foreground,VariableID:1365:2020,#ca1f50,destructive/default-foreground → Maria Linda/status/destructive/500,--destructive-default-foreground,#ca1f50,equal,#ca1f50,equal
maria-linda,table/row-alternate,VariableID:1603:2,#f8f9f9,table/row-alternate → Maria Linda/table/row-alternate → Maria Linda/neutral/50,--table-row-alternate,,missing,#fbfbfb,different
maria-linda,foreground/60%,VariableID:1812:2961,#28292a / 60%,foreground/60% → Maria Linda/neutral/900-60%,--foreground-60,,missing,oklch(0.4054 0 89.88 / 60%),different
maria-linda,muted/40%,VariableID:2127:13111,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 40}",muted/40%,--muted-40,,missing,oklch(0.8971 0.0017 247.84 / 40%),different
maria-linda,primary/20%,VariableID:2457:29811,#7bc6bb / 20%,primary/20% → Maria Linda/primary/500-20%,--primary-20,,missing,oklch(0.7744 0.0767 184.01 / 20%),equal
maria-linda,destructive/30%,VariableID:2926:3907,#ca1f50 / 30%,destructive/30% → Maria Linda/status/destructive/500-30%,--destructive-30,,missing,oklch(0.5466 0.2021 12.13 / 30%),equal
maria-linda,muted/20%,VariableID:3627:49901,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 20}",muted/20%,--muted-20,,missing,,missing
maria-linda,primary/light-border,VariableID:3627:52309,#4c8e84,primary/light-border → primary → Maria Linda/primary/700,--primary-light-border,#7bc6bb,different,#7bc6bb,different
maria-linda,background/10%,VariableID:3758:13875,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:183'}, 'opacity': 10}",background/10%,--background-10,,missing,oklch(0.9574 0.0011 197.14 / 20%),different
maria-linda,card/1%,VariableID:3781:32016,#ffffff / 1%,card/1% → color/neutral/0-1%,--card-1,,missing,oklch(1 0 89.88 / 1%),equal
maria-linda,table/header/background,VariableID:4989:98324,#e7f2f0,table/header/background,--table-header-background,,missing,,missing
maria-linda,muted/30%,VariableID:5046:23981,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 30}",muted/30%,--muted-30,,missing,,missing
maria-linda,button/brand-gradient-1,VariableID:5082:64990,#ffffff,button/brand-gradient-1,--button-brand-gradient-1,,missing,,missing
maria-linda,button/brand-gradient-2,VariableID:5082:64991,#ffffff,button/brand-gradient-2,--button-brand-gradient-2,,missing,,missing
maria-linda,background/brand-gradient/light/1,VariableID:5088:23706,#f2f9f8,background/brand-gradient/light/1,--background-brand-gradient-light-1,,missing,,missing
maria-linda,background/brand-gradient/light/2,VariableID:5090:36219,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:50:300'}, 'opacity': 0}",background/brand-gradient/light/2,--background-brand-gradient-light-2,,missing,,missing
maria-linda,typography/sans,VariableID:132:811,plus-jakarta-sans,typography/sans → Maria Linda/typography/sans,--typography-sans,,missing,,missing
maria-linda,typography/heading,VariableID:132:812,plus-jakarta-sans,typography/heading → Maria Linda/typography/heading,--typography-heading,,missing,,missing
maria-linda,appointment/scheduled/light,VariableID:3464:38,#ececef,appointment/scheduled/light → GRM Global/status/appointment/scheduled/light → slateGray/50,--appointment-scheduled-light,,missing,#ececef,equal
maria-linda,appointment/scheduled/light-border,VariableID:3464:39,#ccced6,appointment/scheduled/light-border → GRM Global/status/appointment/scheduled/light-border → slateGray/200,--appointment-scheduled-light-border,,missing,#ccced6,equal
maria-linda,appointment/scheduled/default,VariableID:3464:40,#6a6f86,appointment/scheduled/default → GRM Global/status/appointment/scheduled/default → slateGray/500,--appointment-scheduled-default,,missing,#6a6f86,equal
maria-linda,appointment/scheduled/foreground,VariableID:3464:41,#56596c,appointment/scheduled/foreground → GRM Global/status/appointment/scheduled/foreground → slateGray/700,--appointment-scheduled-foreground,,missing,#56596c,equal
maria-linda,appointment/confirmed/light,VariableID:3464:42,#e6eef8,appointment/confirmed/light → GRM Global/status/appointment/confirmed/light → clearBlue/50,--appointment-confirmed-light,,missing,#e6eef8,equal
maria-linda,appointment/confirmed/light-border,VariableID:3464:43,#bed1ed,appointment/confirmed/light-border → GRM Global/status/appointment/confirmed/light-border → clearBlue/200,--appointment-confirmed-light-border,,missing,#bed1ed,equal
maria-linda,typography/mono,VariableID:132:813,jetbrains-mono,typography/mono → Maria Linda/typography/mono,--typography-mono,,missing,,missing
maria-linda,destructive/20%,VariableID:3537:30628,#ca1f50 / 20%,destructive/20% → Maria Linda/status/destructive/500-20%,--destructive-20,,missing,oklch(0.5466 0.2021 12.13 / 20%),equal
maria-linda,background,VariableID:44:183,#f8f9f9,background → Maria Linda/neutral/50,--background,#f0f1f1,different,#f0f1f1,different
maria-linda,foreground,VariableID:44:184,#28292a,foreground → Maria Linda/neutral/900,--foreground,#494949,different,#494949,different
maria-linda,primary,VariableID:44:185,#4c8e84,primary → Maria Linda/primary/700,--primary,#7bc6bb,different,#7bc6bb,different
maria-linda,secondary,VariableID:44:186,#f2f9f7,secondary → Maria Linda/secondary/100,--secondary,#f2f9f7,equal,#f2f9f7,equal
maria-linda,accent,VariableID:44:187,#e9e5d7,accent → Maria Linda/accent/200,--accent,#ccc7b2,different,#ccc7b2,different
maria-linda,muted,VariableID:44:188,#f2f4f5,muted → Maria Linda/neutral/100,--muted,#dcddde,different,#dcddde,different
maria-linda,appointment/confirmed/default,VariableID:3464:44,#3f79c9,appointment/confirmed/default → GRM Global/status/appointment/confirmed/default → clearBlue/500,--appointment-confirmed-default,,missing,#3f79c9,equal
maria-linda,appointment/confirmed/foreground,VariableID:3464:45,#36619e,appointment/confirmed/foreground → GRM Global/status/appointment/confirmed/foreground → clearBlue/700,--appointment-confirmed-foreground,,missing,#36619e,equal
maria-linda,appointment/reception/light,VariableID:3464:46,#fcf6de,appointment/reception/light → GRM Global/status/appointment/reception/light → goldenYellow/50,--appointment-reception-light,,missing,#fcf6de,equal
maria-linda,appointment/reception/light-border,VariableID:3464:47,#f7e7a8,appointment/reception/light-border → GRM Global/status/appointment/reception/light-border → goldenYellow/200,--appointment-reception-light-border,,missing,#f7e7a8,equal
maria-linda,appointment/reception/default,VariableID:3464:48,#e6b800,appointment/reception/default → GRM Global/status/appointment/reception/default → goldenYellow/500,--appointment-reception-default,,missing,#e6b800,equal
maria-linda,appointment/reception/foreground,VariableID:3464:49,#b18f09,appointment/reception/foreground → GRM Global/status/appointment/reception/foreground → goldenYellow/700,--appointment-reception-foreground,,missing,#b18f09,equal
maria-linda,appointment/vitals/light,VariableID:3464:50,#fbeaf0,appointment/vitals/light → GRM Global/status/appointment/vitals/light → berryPink/50,--appointment-vitals-light,,missing,#fbeaf0,equal
maria-linda,appointment/vitals/light-border,VariableID:3464:51,#f4c7d7,appointment/vitals/light-border → GRM Global/status/appointment/vitals/light-border → berryPink/200,--appointment-vitals-light-border,,missing,#f4c7d7,equal
maria-linda,appointment/vitals/default,VariableID:3464:52,#e05a8a,appointment/vitals/default → GRM Global/status/appointment/vitals/default → berryPink/500,--appointment-vitals-default,,missing,#e05a8a,equal
maria-linda,appointment/vitals/foreground,VariableID:3464:53,#ad4a6f,appointment/vitals/foreground → GRM Global/status/appointment/vitals/foreground → berryPink/700,--appointment-vitals-foreground,,missing,#ad4a6f,equal
maria-linda,appointment/consultation/light,VariableID:3464:54,#fbf1e3,appointment/consultation/light → GRM Global/status/appointment/consultation/light → amberOrange/50,--appointment-consultation-light,,missing,#fbf1e3,equal
maria-linda,appointment/consultation/light-border,VariableID:3464:55,#f4dab7,appointment/consultation/light-border → GRM Global/status/appointment/consultation/light-border → amberOrange/200,--appointment-consultation-light-border,,missing,#f4dab7,equal
maria-linda,appointment/consultation/default,VariableID:3464:56,#e0912a,appointment/consultation/default → GRM Global/status/appointment/consultation/default → amberOrange/500,--appointment-consultation-default,,missing,#e0912a,equal
maria-linda,appointment/consultation/foreground,VariableID:3464:57,#ad7328,appointment/consultation/foreground → GRM Global/status/appointment/consultation/foreground → amberOrange/700,--appointment-consultation-foreground,,missing,#ad7328,equal
maria-linda,appointment/completed/light,VariableID:3464:58,#e4f2ec,appointment/completed/light → GRM Global/status/appointment/completed/light → natureGreen/50,--appointment-completed-light,,missing,#e4f2ec,equal
maria-linda,appointment/completed/light-border,VariableID:3464:59,#b8decc,appointment/completed/light-border → GRM Global/status/appointment/completed/light-border → natureGreen/200,--appointment-completed-light-border,,missing,#b8decc,equal
maria-linda,appointment/completed/default,VariableID:3464:60,#2f9e6a,appointment/completed/default → GRM Global/status/appointment/completed/default → natureGreen/500,--appointment-completed-default,,missing,#2f9e6a,equal
maria-linda,appointment/completed/foreground,VariableID:3464:61,#2a7c57,appointment/completed/foreground → GRM Global/status/appointment/completed/foreground → natureGreen/700,--appointment-completed-foreground,,missing,#2a7c57,equal
maria-linda,appointment/no-show/light,VariableID:3464:62,#fae8e8,appointment/no-show/light → GRM Global/status/appointment/no-show/light → warmRed/50,--appointment-no-show-light,,missing,#fae8e8,equal
maria-linda,appointment/no-show/light-border,VariableID:3464:63,#f1c3c3,appointment/no-show/light-border → GRM Global/status/appointment/no-show/light-border → warmRed/200,--appointment-no-show-light-border,,missing,#f1c3c3,equal
maria-linda,appointment/no-show/default,VariableID:3464:64,#d64f4f,appointment/no-show/default → GRM Global/status/appointment/no-show/default → warmRed/500,--appointment-no-show-default,,missing,#d64f4f,equal
maria-linda,appointment/no-show/foreground,VariableID:3464:65,#a64243,appointment/no-show/foreground → GRM Global/status/appointment/no-show/foreground → warmRed/700,--appointment-no-show-foreground,,missing,#a64243,equal
maria-linda,appointment/cancelled/light,VariableID:3464:66,#fdf4f0,appointment/cancelled/light → GRM Global/status/appointment/cancelled/light → softCoral/50,--appointment-cancelled-light,,missing,#fdf4f0,equal
maria-linda,appointment/cancelled/light-border,VariableID:3464:67,#fae2d7,appointment/cancelled/light-border → GRM Global/status/appointment/cancelled/light-border → softCoral/200,--appointment-cancelled-light-border,,missing,#fae2d7,equal
maria-linda,appointment/cancelled/default,VariableID:3464:68,#f0a988,appointment/cancelled/default → GRM Global/status/appointment/cancelled/default → softCoral/500,--appointment-cancelled-default,,missing,#f0a988,equal
maria-linda,appointment/cancelled/foreground,VariableID:3464:69,#b9846d,appointment/cancelled/foreground → GRM Global/status/appointment/cancelled/foreground → softCoral/700,--appointment-cancelled-foreground,,missing,#b9846d,equal
