Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
piel-sana,primary-active,VariableID:164:365,#e6782e,primary-active → Piel Sana/primary/hover → Piel Sana/primary/600,--primary-active,#e6782e,equal,#e6782e,equal
piel-sana,secondary-active,VariableID:168:367,#e3f8f4,secondary-active → Piel Sana/secondary/100,--secondary-active,#e3f8f4,equal,#e3f8f4,equal
piel-sana,background-hover,VariableID:168:368,#f6f3ef,background-hover → Piel Sana/neutral/100,--background-hover,#f5f3ef,different,#f5f3ef,different
piel-sana,background-active,VariableID:168:369,#f6f3ef,background-active → Piel Sana/neutral/100,--background-active,#f5f3ef,different,#f5f3ef,different
piel-sana,success/foreground,VariableID:203:202,#ffffff,success/foreground → color/neutral/0,--success-foreground,#ffffff,equal,#ffffff,equal
piel-sana,warning/foreground,VariableID:203:208,#ffffff,warning/foreground → color/neutral/0,--warning-foreground,#ffffff,equal,#ffffff,equal
piel-sana,error/foreground,VariableID:203:209,#ffffff,error/foreground → color/neutral/0,--error-foreground,#ffffff,equal,#ffffff,equal
piel-sana,destructive/foreground,VariableID:203:210,#ffffff,destructive/foreground → color/neutral/0,--destructive-foreground,#ffffff,equal,#ffffff,equal
piel-sana,info/foreground,VariableID:203:211,#ffffff,info/foreground → color/neutral/0,--info-foreground,#ffffff,equal,#ffffff,equal
piel-sana,success/light-border,VariableID:203:212,#bde7a1,success/light-border → Piel Sana/status/success/200,--success-light-border,#bde7a1,equal,#bde7a1,equal
piel-sana,warning/light-border,VariableID:203:213,#fed99c,warning/light-border → Piel Sana/status/warning/200,--warning-light-border,#fed99c,equal,#fed99c,equal
piel-sana,error/light-foreground,VariableID:203:214,#b12403,error/light-foreground → Piel Sana/status/error/700,--error-light-foreground,#b12403,equal,#b12403,equal
piel-sana,destructive/light-border,VariableID:203:215,#ffacae,destructive/light-border → Piel Sana/status/destructive/200,--destructive-light-border,#ffacae,equal,#ffacae,equal
piel-sana,info/light-foreground,VariableID:203:216,#00599d,info/light-foreground → Piel Sana/status/info/700,--info-light-foreground,#00599d,equal,#00599d,equal
piel-sana,success,VariableID:203:217,#71b92d,success → Piel Sana/status/success/500,--success,#71b92d,equal,#71b92d,equal
piel-sana,warning,VariableID:203:218,#e7a70b,warning → Piel Sana/status/warning/500,--warning,#e7a70b,equal,#e7a70b,equal
piel-sana,error,VariableID:203:219,#ed5032,error → Piel Sana/status/error/500,--error,#ed5032,equal,#ed5032,equal
piel-sana,destructive,VariableID:203:220,#d61d42,destructive → Piel Sana/status/destructive/500,--destructive,#d61d42,equal,#d61d42,equal
piel-sana,info,VariableID:203:221,#237fd3,info → Piel Sana/status/info/500,--info,#237fd3,equal,#237fd3,equal
piel-sana,success/light,VariableID:208:2,#eef9e7,success/light → Piel Sana/status/success/50,--success-light,#eef9e7,equal,#eef9e7,equal
piel-sana,warning/light,VariableID:208:3,#fef5e6,warning/light → Piel Sana/status/warning/50,--warning-light,#fef5e6,equal,#fef5e6,equal
piel-sana,error/light,VariableID:208:4,#ffefec,error/light → Piel Sana/status/error/50,--error-light,#ffefec,equal,#ffefec,equal
piel-sana,destructive/light,VariableID:208:5,#ffeded,destructive/light → Piel Sana/status/destructive/50,--destructive-light,#ffeded,equal,#ffeded,equal
piel-sana,info/light,VariableID:208:6,#e9f3ff,info/light → Piel Sana/status/info/50,--info-light,#e9f3ff,equal,#e9f3ff,equal
piel-sana,success/light-foreground,VariableID:208:7,#488007,success/light-foreground → Piel Sana/status/success/700,--success-light-foreground,#488007,equal,#488007,equal
piel-sana,warning/light-foreground,VariableID:208:8,#775400,warning/light-foreground → Piel Sana/status/warning/800,--warning-light-foreground,#9d7109,different,#9d7109,different
piel-sana,error/light-border,VariableID:208:33,#febeaf,error/light-border → Piel Sana/status/error/200,--error-light-border,#febeaf,equal,#febeaf,equal
piel-sana,destructive/light-foreground,VariableID:210:2,#9d042b,destructive/light-foreground → Piel Sana/status/destructive/700,--destructive-light-foreground,#9d042b,equal,#9d042b,equal
piel-sana,info/light-border,VariableID:210:3,#a1cdfc,info/light-border → Piel Sana/status/info/200,--info-light-border,#a1cdfc,equal,#a1cdfc,equal
piel-sana,success-hover,VariableID:230:1268,#5a9f07,success-hover → Piel Sana/status/success/600,--success-hover,#5a9f07,equal,#5a9f07,equal
piel-sana,success-active,VariableID:230:1269,#488007,success-active → Piel Sana/status/success/700,--success-active,#488007,equal,#488007,equal
piel-sana,success/light-hover,VariableID:230:1270,#d9f1ca,success/light-hover → Piel Sana/status/success/100,--success-light-hover,#d9f1ca,equal,#d9f1ca,equal
piel-sana,success/light-active,VariableID:230:1271,#bde7a1,success/light-active → Piel Sana/status/success/200,--success-light-active,#bde7a1,equal,#bde7a1,equal
piel-sana,warning/light-hover,VariableID:230:1272,#fee9c6,warning/light-hover → Piel Sana/status/warning/100,--warning-light-hover,#fee9c6,equal,#fee9c6,equal
piel-sana,warning/light-active,VariableID:230:1273,#fed99c,warning/light-active → Piel Sana/status/warning/200,--warning-light-active,#fed99c,equal,#fed99c,equal
piel-sana,error/light-hover,VariableID:230:1274,#fedad2,error/light-hover → Piel Sana/status/error/100,--error-light-hover,,missing,#fedad2,equal
piel-sana,error/light-active,VariableID:230:1275,#febeaf,error/light-active → Piel Sana/status/error/200,--error-light-active,,missing,#febeaf,equal
piel-sana,destructive/light-hover,VariableID:230:1276,#fed2d2,destructive/light-hover → Piel Sana/status/destructive/100,--destructive-light-hover,#fed2d2,equal,#fed2d2,equal
piel-sana,destructive/light-active,VariableID:230:1277,#ffacae,destructive/light-active → Piel Sana/status/destructive/200,--destructive-light-active,#ffacae,equal,#ffacae,equal
piel-sana,info/light-hover,VariableID:230:1278,#cae3fe,info/light-hover → Piel Sana/status/info/100,--info-light-hover,,missing,#cae3fe,equal
piel-sana,info/light-active,VariableID:230:1279,#a1cdfc,info/light-active → Piel Sana/status/info/200,--info-light-active,,missing,#a1cdfc,equal
